X,Y,Z,formation
1145328,1166778,1500,D
1145909,1166603,1000,D
1145909,1166603,1000,Fault1
1146605,1166332,1500,Fault1
1147267,1166139,2000,Fault1
1148510,1165721,3000,Fault1
1146605,1166332,2500,J
1147257,1166139,2000,J
1147267,1166139,800,K
1149857,1165326,0,K
1153062,1164327,500,K
1153492,1164176,1100,K
1153933,1164060,1000,K
1155954,1163410,500,K
1147267,1166139,1000,K1
1149857,1165326,291.6666667,K1
1153492,1164176,1400,K1
1147267,1166139,1200,K2
1149857,1165326,583.3333333,K2
1153492,1164176,1700,K2
1147267,1166139,1400,K3
1149857,1165326,875,K3
1153492,1164176,2000,K3
1147267,1166139,1600,K4
1149857,1165326,1166.666667,K4
1153492,1164176,2300,K4
1147267,1166139,1800,K5
1149857,1165326,1458.333333,K5
1153492,1164176,2600,K5
1145328,1166778,3000,P
1145909,1166603,2500,P
1146605,1166332,1750,P
1148510,1165721,2000,T
1149857,1165326,1750,T
1151425,1164838,2000,T
1152691,1164420,2500,T
1153283,1164281,3000,T
1154711,1163805,3000,T
1155571,1163537,2250,T
1156465,1163259,2500,T
1148510,1165721,2150,T1
1152691,1164420,2650,T1
1156465,1163259,2650,T1
1154711,1163805,3150,T1
1148510,1165721,2300,T2
1152691,1164420,2800,T2
1156465,1163259,2800,T2
1154711,1163805,3300,T2
1148510,1165721,2450,T3
1152691,1164420,2950,T3
1156465,1163259,2950,T3
1154711,1163805,3450,T3
1148510,1165721,2600,T4
1152691,1164420,3100,T4
1156465,1163259,3100,T4
1154711,1163805,3600,T4
1148510,1165721,2750,T5
1152691,1164420,3250,T5
1156465,1163259,3250,T5
1154711,1163805,3750,T5
1148510,1165721,3010,K
1148510,1165721,3200,K1
1148510,1165721,3400,K2
1148510,1165721,3600,K3
1146605,1166332,3500,K
1146605,1166332,3700,K1
1146605,1166332,3900,K2
1146605,1166332,4100,K3
